query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
海風,False,777,海風號甜點觀光列車套票｜紀念車票＆特色餐點,261726,245,86.31,,,,
9.81,False,772,9.81 濟州島公園門票 | 韓國濟州島,131733,53,85.98,,,,
東眼山,False,772,桃園｜東眼山國家森林遊樂區門票,100557,15,65.48,,,,
Xp,False,772,桃園Xpark水族館門票,101517,27,90.74,,,,
西武,False,769,日本職棒套票｜埼玉西武獅主場賽事門票｜電子票券,23684,71,72.78,,,,
日豪,False,765,機場巴士接送｜1250 路線｜日豪客運｜桃園機場（TPE）- 新竹轉運站,267863,13,75.89,,,,
海洋,False,749,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,2,11.36,臺北市展覽｜Baby Shark 守護海洋大冒險,573722,2,16.67
棒球,False,741,東京巨蛋｜讀賣巨人棒球比賽門票｜附巨人隊官方應援毛巾,21633,55,9.22,2026 味全龍主場賽事門票｜臺北大巨蛋＆天母棒球場,575165,14,23.58
京阪,False,737,京阪電車一日券,18573,26,56.41,,,,
伯斯,False,734,西澳伯斯二日遊｜【秘境觀星】粉紅湖赫特潟湖+尖峰石陣＋白沙漠【11人以下小團】,248750,108,23.28,伯斯近郊一日遊 | 波浪岩、約克小鎮、忠犬公墓、河馬哈欠岩、原住民洞穴、澳式BBQ (中文導覽),167002,71,9.93
周遊,False,732,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,73,48.6,【日本 JR PASS】關西廣域鐵路周遊券（韓國、馬來西亞、越南、菲律賓郵寄）,20317,15,4.55
貓空,False,723,台北貓空纜車車票,115080,14,62.56,,,,
拉拉山,False,723,桃園拉拉山國家森林遊樂區門票,149536,16,22.04,,,,
杉林溪,False,716,南投杉林溪 & 南投溪頭一日遊｜杉林溪 & 松瀧岩 & 忘憂森林  或 大崙山茶園＆銀杏森林｜台中市區出發｜中英服務｜保證小車出行,105098,31,22.39,,,,
