query,prod_nm,prod_mid,profit,ctr,profit_rank
合掌村,【名古屋出發】立山黑部雪牆3日遊｜上高地・白川鄉合掌村・馬籠宿＆妻籠宿・大王山葵農場｜含門票＋住宿＋領隊,568735,239,4.17,5
合掌村,白川鄉一日遊｜飛驒高山  世界遺產白川鄉合掌村  可進入白川鄉展望台｜可選酒店接送（名古屋出發）,135964,47,23.27,6
合掌村,【 雪牆絕景・熱賣加開 】自選航空・桃園出發｜名古屋 5 天＆6 天 計劃機票・１人成行｜自選超值方案＆贈唐吉軻德優惠券,151729,19,4.99,7
合掌村,日本京都 美山合掌村・勝尾寺・嵐山竹林・野宮神社一日遊｜大阪出發・可京都解散,573271,7,5.38,8
合掌村,【一人成行京都出發】京都秘境一日遊｜美山合掌村、天橋立、伊根舟屋｜（將滿額請儘早訂購）,162588,6,5.14,9
合掌村,日本中部一日遊｜白川鄉合掌村＆飛驒高山老街｜名古屋出發,136327,5,19.95,10
名古屋,黑部立山三日遊｜立山黑部阿爾卑斯山路線雪牆＆上高地＆白川鄉合掌村＆高山&金澤兼六園｜名古屋出發（含立山黑部六種交通工具票券）,158778,8242,10.68,1
名古屋,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215,2234,16.28,2
名古屋,黑部立山雪牆絕景二日遊|立山黑部阿爾卑斯山路線大雪谷&秘境上高地（日本名古屋出發）,161560,1539,6.45,3
名古屋,【限量促銷】黑部立山雪牆絕景二日遊｜立山黑部阿爾卑斯山路線大雪谷＆上高地＆白川鄉合掌村＆飛騨高山古街＆金澤兼六園＆東茶屋街｜日本名古屋出發（含立山黑部六種交通工具票券）,573405,1105,8.62,4
名古屋,【 雪牆絕景・熱賣加開 】自選航空・桃園出發｜名古屋 5 天＆6 天 計劃機票・１人成行｜自選超值方案＆贈唐吉軻德優惠券,151729,951,7.68,5
名古屋,【名古屋出發】立山黑部雪牆3日遊｜上高地・白川鄉合掌村・馬籠宿＆妻籠宿・大王山葵農場｜含門票＋住宿＋領隊,568735,570,2.89,6
名古屋,日本樂高樂園門票,11413,485,7.91,7
名古屋,名古屋一日遊｜白川鄉合掌村＆飛驒高山老街,17716,362,12.1,8
名古屋,白川鄉一日遊｜飛驒高山  世界遺產白川鄉合掌村  可進入白川鄉展望台｜可選酒店接送（名古屋出發）,135964,322,8.28,9
名古屋,日本吉卜力公園門票（標準／高級大散步券）｜任搭一日遊或住宿套裝方案 © Studio Ghibli,139872,245,13.09,10
名古屋包車,【客製化多日包車】日本東京/大阪/名古屋/北海道等地區全客製化DIY自由行,138986,1839,34.64,1
名古屋包車,「包車遊」日本中部地區一日遊私人包車服務｜名古屋出發｜白川鄉・飛驒高山・犬山城・馬籠宿妻籠宿・惠那峽・上高地 等名古屋周邊熱門景點（行程可調）,271600,119,22.05,2
名古屋包車,【專屬包車接送】大阪-環球城港/京都/奈良/神戶/名古屋/東京等地區單程接送,134740,87,12.73,3
名古屋包車,【專屬包車】日本名古屋市區、白川鄉、高山、金澤包車一日遊,135831,66,42.51,4
名古屋包車,【私人包車一日遊】名古屋市內飯店接送｜米其林三星飛騨高山＋世界遺產白川鄉合掌村,155194,35,22.78,5
名古屋包車,日本F1鈴鹿賽專屬包車服務｜名古屋・大阪・中部機場點對點專屬接送服務,570602,34,6.25,6
名古屋包車,名古屋市內⇔樂高樂園・吉卜力公園・長島溫泉樂園・三井奧萊以及名古屋市內點對點單程私人接送服務|名古屋出發,546595,33,14.81,7
名古屋包車,【接送機專用】名古屋中部空港(NGO) ⇔ 名古屋市區丨接送機服務,270262,19,8.7,8
名古屋包車,【名古屋一日私人包車】日本名古屋｜名古屋市區、近郊包車一日遊｜客製化旅遊、行程可自由搭配｜高山、岐阜、白川鄉合掌村,547945,0,19.9,9
名古屋包車,【綠牌正規運營】日本金澤包車一日遊｜高山白川鄉｜客製化包車服務（金澤市出發結束）,570103,0,4.21,10
墨爾本,[墨爾本火車企鵝雙拼一日遊] 蒸氣小火車+無尾熊動物園+企鵝歸巢,137696,672,24.89,1
墨爾本,墨爾本布萊頓彩虹小屋 & 普芬比利蒸汽小火車 & 考拉動物園 & 企鵝歸巢 1 日遊（中 / 英文導遊）｜墨爾本,155423,375,22.76,2
墨爾本,[墨爾本大洋路中文小團]門牌+阿波羅灣+十二使徒岩+洛克阿德大峽谷,137693,180,18.79,3
墨爾本,澳洲墨爾本機場 MEL 至墨爾本市區 | SkyBus Express 機場巴士客運,130864,170,8.96,4
墨爾本,【中文團】墨爾本普芬比利蒸汽火車 + 菲利普島企鵝歸巢一日遊｜可選彩虹小屋 & 賓士小團,284652,142,10.17,5
墨爾本,墨爾本大洋路兩天一夜中文團｜門牌 + 阿波羅灣 + 十二使徒岩 + 洛克阿德大峽谷 + 倫敦橋,160479,133,4.76,6
墨爾本,澳洲墨爾本|普芬比利蒸氣火車+企鵝歸巢一日遊【部分套餐含午餐/上門接送/中文服務/可選Maru動物園】,569412,110,10.21,7
墨爾本,【澳洲爆款行程】墨爾本普芬比利蒸氣火車+菲利普島&企鵝歸巢一日遊,570792,91,8.53,8
墨爾本,墨爾本 | 疏芬山淘金一日遊,251897,90,7.45,9
墨爾本,澳洲亞拉河谷美食與葡萄酒莊一日遊 | 墨爾本出發,7853,82,5.31,10
大阪,日本環球影城門票 Universal Studios Japan,2247,1921,7.03,1
大阪,日本環球影城 VIP 體驗私人行程｜日本大阪,151948,1803,3.48,2
大阪,【1人成團】日本京都天橋立一日遊｜伊根灣遊船・伊根舟屋/美山茅草屋之里｜伊根灣遊船・可選鮑魚或半蟹海鮮鍋｜大阪難波／京都出發,155289,1757,11.61,3
大阪,日本環球影城門票 & 快速通關券 USJ,18618,915,11.65,4
大阪,日本｜大阪、京都、奈良出發10小時來回包車一日遊,133661,663,12.19,5
大阪,樂桃航空・高雄出發｜大阪 6 天計劃機票・１人成行｜自選超值方案,182833,510,3.4,6
大阪,【大阪出發】勝尾寺祈福達摩・京都嵐山・清水寺二年坂三年坂｜午餐可升級獨家A5頂級黑毛和牛「神戶牛」・贈送京都抹茶體驗(大阪/京都兩地下車),284721,431,11.95,7
大阪,【 暑期優惠中  】樂桃航空・桃園出發｜大阪 5 天計劃機票・１人成行｜自選超值方案,142756,398,4.94,8
大阪,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,387,10.54,9
大阪,日本三景京都天橋立一日遊｜天橋立觀景台・智恩寺・伊根舟屋・伊根灣遊船｜可選含纜車與遊船票方案｜贈每人蝦條｜大阪/京都出發,145830,384,8.71,10
大阪包車,日本｜大阪、京都、奈良出發10小時來回包車一日遊,133661,1971,46.82,1
大阪包車,日本｜大阪｜京都｜包車一日遊｜大阪/京都往返｜客製化行程,554512,210,22.0,2
大阪包車,【日本大阪熱門打卡景點】勝尾寺/箕面瀑布/嵐山/天龍寺,547573,126,22.38,3
大阪包車,【專屬包車接送】大阪-環球城港/京都/奈良/神戶/名古屋/東京等地區單程接送,134740,120,21.74,4
