query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
美福,False,759,台北美福大飯店｜彩匯餐廳｜自助餐,547741,10,69.23,【九州票券】太宰府柳川暢遊套票｜電子票券,21437.0,0.0,0.0
名古,False,749,【限量促銷】黑部立山雪牆絕景二日遊｜立山黑部阿爾卑斯山路線大雪谷＆上高地＆白川鄉合掌村＆飛騨高山古街＆金澤兼六園＆東茶屋街｜日本名古屋出發（含立山黑部六種交通工具票券）,573405,211,33.33,日本中部國際機場 NGO ⇆ 名古屋站｜名鐵機場特急列車 電子車票,20418.0,2.0,25.0
杉林溪,False,748,南投杉林溪 & 南投溪頭一日遊｜杉林溪 & 松瀧岩 & 忘憂森林  或 大崙山茶園＆銀杏森林｜台中市區出發｜中英服務｜保證小車出行,105098,43,21.23,南投杉林溪一日遊｜杉林溪 & 松瀧岩 & 忘憂森林｜台中出發,4625.0,10.0,13.98
海洋,False,747,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,2,4.26,臺北市展覽｜Baby Shark 守護海洋大冒險,573722.0,2.0,22.73
拉拉山,False,746,桃園拉拉山國家森林遊樂區門票,149536,13,20.4,桃園｜拉拉山＆上巴陵＆羅浮溫泉＆恩愛農場 一日遊｜台北 & 桃園  & 新竹 &台中出發,100853.0,0.0,39.33
即享券,False,741,台灣｜王品集團電子即享券｜王品牛排．陶板屋．西堤牛排．夏慕尼．Oh my!原燒．藝奇．聚．品田牧場,134810,8,6.41,樂天超市 LOTTE Mart 行動版優惠券｜韓國,531429.0,0.0,1.87
花火大會,False,739,限時特惠｜熱海花火大會＆鎌倉一日遊or 箱根一日遊（可選乘船觀賞）｜東京新宿出發,163325,68,21.65,期間限定 | 確定成行！秋田大曲全國花火競技大會 & 坐在觀賞席上欣賞 |夜行一日遊 ( 仙台出發 ),279269.0,0.0,15.95
日豪,False,732,機場巴士接送｜1250 路線｜日豪客運｜桃園機場（TPE）- 新竹轉運站,267863,12,76.92,豪華版關西樂享周遊券（可選日本環球影城1日券）,528208.0,0.0,0.0
西武,False,725,日本職棒套票｜埼玉西武獅主場賽事門票｜電子票券,23684,61,72.88,西武鐵道一日券,27243.0,0.0,14.44
Xp,False,724,桃園Xpark水族館門票,101517,14,89.58,日本環球影城門票 & 快速通關券 USJ,18618.0,0.0,0.0
猛男秀,False,723,韓國猛男秀Wild Wild門票,119270,92,50.33,首爾 The Man Alive猛男音樂劇（19+女性限定),146592.0,18.0,25.3
京成,False,720,【機場市區交通】京成 Skyliner（單程）,7913,19,78.34,京成電鐵 Skyliner・桃園機場捷運・東京地鐵・台北捷運,243092.0,0.0,10.64
兒童新樂園,True,717,臺北市立兒童新樂園門票,34133,19,58.46,台北天文館・科學教育館・兒童新樂園｜二館聯票・三館聯票,128325.0,1.0,13.73
后里,False,716,台中后里｜天馬幻夢大馬戲門票,174276,71,66.4,台中自行車后豐鐵馬道體驗｜捷安特自行車租借可加購・后里馬場馬術騎乘體驗・戶外賽車・漆彈,266437.0,2.0,40.0
湯布院,False,712,【1人成團】九州大分由布院＆別府地獄一日遊｜金鱗湖・九州自然動物園・博多出發（可選由布院之森列車）,175897,90,23.2,【1人成團】九州福岡別府六景一日遊｜如意輪寺+由布岳+湯布院+金麟湖+海地獄+灶地獄（含門票）,150984.0,60.0,32.1
大皇宮,True,706,大皇宮和玉佛寺免排隊門票 |曼谷,249877,24,42.05,曼谷 | 大皇宮和玉佛寺漫步遊,131703.0,8.0,33.33
海洋公園,True,697,香港海洋公園門票,2306,60,37.06,花蓮遠雄海洋公園門票,107922.0,51.0,26.92
nex,False,694,成田機場 (NRT) 往返東京、新宿、橫濱｜N'EX成田特快車票,529712,29,61.83,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815.0,1.0,2.59
HARUKA,False,692,關西機場特快 HARUKA 車票,18940,87,79.14,阿倍野展望台門票 HARUKAS 300,19513.0,7.0,3.95
羚羊谷,False,692,美國二日遊 | 大峽谷＆馬蹄灣＆下羚羊峽谷＆錫安國家公園 | 拉斯維加斯出發,11791,74,14.59,羚羊谷（黃金時段入口）、馬蹄灣和鮑威爾湖，含飯店接送服務 | 拉斯維加斯 | 美國,579469.0,11.0,28.38
昂坪,False,691,香港昂坪360纜車門票,4360,97,64.42,香港 Fun Pass｜任選組合套票｜HONG KONG FunPass,266440.0,15.0,12.5
哈利,False,685,東京哈利波特製片廠之旅門票,144383,189,84.04,東京《哈利·波特與被詛咒的孩子》門票,182431.0,28.0,20.0
Har,False,684,關西機場特快 HARUKA 車票,18940,2,75.0,消失的法老 古夫金字塔 VR 沉浸體驗,549777.0,0.0,0.0
台北101,True,680,台北101觀景台門票,8332,87,69.64,【沿著平溪線去旅行】野柳、平溪十分、九份拼車一日遊,2287.0,25.0,4.27
陸龍灣,False,677,寧平一日遊｜長安陸龍灣遊船 · 白亭 - 古都華閩 - 長安名勝群 - 三谷 - 杭麻（多語導遊及多種行程選擇）｜從越南河內 / 寧平出發,141800,17,34.01,寧平遺產一日遊（含自助午餐和豪華轎車接送）| 華齲 - 長安 - 舞洞 | 河內出發,574575.0,0.0,21.18
伊藤,False,677,伊藤潤二展 誘惑 JUNJI ITO EXHIBITION: ENCHANTMENT,579222,45,83.33,愛知縣名古屋站週邊|烤肉仙台牛～牛舌肉之伊藤（仙台牛牛舌名站店）|僅座位預定,226960.0,0.0,0.0
東眼山,False,672,桃園｜東眼山國家森林遊樂區門票,100557,19,62.57,日本金澤一日遊｜五箇山＆白川鄉合掌村＆飛驒高山｜金澤站出發,28049.0,0.0,0.0
